date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:33	55498/55498	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/12.jpg	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/12.jpg	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/index.html)
21:13:33	37101/37101	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/13.jpg	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/13.jpg	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/index.html)
21:13:34	49394/49394	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/14.jpg	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/14.jpg	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/index.html)
21:13:34	31210/31210	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi9.png	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi9.png	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/index.html)
21:13:35	39028/39028	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi10.png	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi10.png	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/index.html)
21:13:35	34949/34949	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi11.png	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi11.png	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/index.html)
21:13:36	35567/35567	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi12.png	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/pi12.png	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/index.html)
21:13:36	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.eot	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.eot	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/bootstrap-3.1.1.min.css)
21:13:37	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.eot?	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regulard41d.eot	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/bootstrap-3.1.1.min.css)
21:13:37	23424/23424	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.woff	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.woff	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/bootstrap-3.1.1.min.css)
21:13:38	45404/45404	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.ttf	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.ttf	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/bootstrap-3.1.1.min.css)
21:13:38	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.svg	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/glyphicons-halflings-regular.svg	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/bootstrap-3.1.1.min.css)
21:13:40	9186/9186	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/img-sprite.png	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/img-sprite.png	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/style.css)
21:13:40	162876/162876	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/Roboto-Regular.ttf	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/fonts/Roboto-Regular.ttf	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/style.css)
21:13:40	75410/75410	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:58:08%20GMT	https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/11.jpg	E:/CNTT/OUTSIDE/Web/rip%20web/Youth%20Fashion/p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/images/11.jpg	(from https://p.w3layouts.com/demos/may-2016/05-05-2016/youth_fashion/web/css/style.css)
